RATING,TITLE,AUTHOR
6.5,A Wrinkle in Time,Madeleine L'Engle
6,YVR,W.H. New
5.5,101 Bug Jokes,"Lisa Eisenberg, Katy Hall"
7,"The Paris Review Interviews, Vol. II",Various
7.5,A Dance with Dragons (A Song of Ice and Fire #5),George R. R. Martin
8.5,Siddhartha,Hermann Hesse
8,The Stranger,Albert Camus
6,The Grouchy Ladybug,Eric Carle
7,Saga: Book One,"Brian K. Vaughn, Fiona Staples"
7.5,The Great Believers,Rebecca Makkai
7,The Bacchae,Euripides
8,Running with Scissors,Augusten Burroughs
9,The Perks of Being a Wallflower,Stephen Chbosky
7.5,Charlotte's Web,E. B. White
7,Oryx and Crake,Margaret Atwood
7.5,"Girl, Woman, Other",Bernardine Evaristo
6.5,Pippi Longstocking,Astrid Lindgren
7.5,The Wonderful Story of Henry Sugar and Six More,Roald Dahl
5.5,The Magic School Bus in the Haunted Museum,"Linda Ward Beech, Joel Schick, Joanna Cole"
6.5,Herland,Charlotte Perkins Gilman
