RATING,TITLE,AUTHOR
7.5,Sabrina,Nick Drnaso
7,Nine Stories,J. D. Salinger
6.5,Americanah,Chimamanda Ngozi Adichie
5.5,The Cricket in Times Square,George Selden
7,The Summer Book,Tove Jansson
8.5,The Gift: How the Creative Spirit Transforms the World,Lewis Hyde
7.5,This Side of Paradise,F. Scott Fitzgerald
6.5,Pippi Longstocking,Astrid Lindgren
7.5,Cat's Cradle,Kurt Vonnegut
7,The Tempest,William Shakespeare
7,Blood of Elves (The Witcher #3),Andrzej Sapkowski
7.5,The Reptile Room (A Series of Unfortunate Events #2),Lemony Snicket
7.5,Animalia,Graeme Base
7.5,Kafka on the Shore,Haruki Murakami
7.5,Fairyland: A Memoir of My Father,Alysia Abbott
7,The Year of the Flood,Margaret Atwood
7,A Light in the Attic,Shel Silverstein
6,Little Fish,Casey Plett
6.5,A Separate Peace,John Knowles
8,Black Swan Green,David Mitchell
7.5,The Wonderful Story of Henry Sugar and Six More,Roald Dahl
8,American Psycho,Brett Easton Ellis
8.5,The Hobbit,J. R. R. Tolkien
8,The Stranger,Albert Camus
6.5,A Wrinkle in Time,Madeleine L'Engle
